transaction_id,Transaction_Date,Amount,Transaction_Type
0,2024-03-23 15:38:55.324361,34.76,Withdrawal
1,2024-04-22 19:15:59.987856,163.92,Withdrawal
2,2024-04-12 19:46:24.678365,386.32,Withdrawal
3,2024-04-17 15:29:26.448865,407.15,Deposit
4,2024-02-10 01:51:03.557092,161.31,Deposit
5,2024-02-10 22:56:50.345276,764.34,Transfer
6,2024-04-07 00:07:55.944922,734.59,Deposit
7,2024-03-08 01:51:23.656247,592.43,Deposit
8,2024-02-01 12:34:23.917533,927.1,Deposit
9,2024-03-22 16:46:15.739254,66.59,Transfer
10,2024-04-23 13:30:59.199569,246.3,Withdrawal
11,2024-01-13 01:22:57.229142,782.32,Withdrawal
12,2024-02-25 15:16:59.399403,818.42,Withdrawal
13,2024-01-01 20:55:41.415195,352.23,Withdrawal
14,2024-01-19 00:01:32.123134,316.19,Withdrawal
15,2024-04-09 14:40:07.708888,662.26,Withdrawal
16,2024-04-15 04:58:19.603610,893.73,Deposit
17,2024-04-12 14:32:39.932328,746.22,Withdrawal
18,2024-02-26 14:43:24.406588,214.77,Withdrawal
19,2024-01-17 14:50:39.132206,726.94,Withdrawal
20,2024-03-05 23:45:21.619446,61.56,Withdrawal
21,2024-02-29 20:51:40.730998,117.02,Deposit
22,2024-04-13 14:16:33.764215,851.08,Withdrawal
23,2024-01-24 17:36:53.235627,574.15,Transfer
24,2024-03-02 07:44:02.378071,301.29,Withdrawal
25,2024-03-04 13:07:08.802844,600.82,Deposit
26,2024-03-21 13:21:43.072249,823.89,Withdrawal
27,2024-01-28 22:49:23.125581,948.11,Deposit
28,2024-04-09 21:43:30.679355,549.12,Transfer
29,2024-04-02 06:41:14.262387,962.29,Transfer
30,2024-03-05 08:29:00.324475,295.34,Withdrawal
31,2024-03-09 07:30:33.761187,882.04,Withdrawal
32,2024-03-03 21:52:09.420731,389.75,Transfer
33,2024-01-23 07:02:07.792845,870.91,Transfer
34,2024-03-22 11:27:57.774857,725.22,Withdrawal
35,2024-03-12 09:54:44.519837,749.3,Withdrawal
36,2024-04-19 08:43:30.326056,239.87,Transfer
37,2024-02-19 21:22:00.906256,31.72,Transfer
38,2024-02-07 08:08:31.030345,315.84,Withdrawal
39,2024-01-09 21:00:55.538630,149.35,Deposit
40,2024-02-17 15:24:59.739783,651.18,Transfer
41,2024-01-01 07:33:55.798419,619.5,Withdrawal
42,2024-03-23 22:42:11.306913,988.93,Transfer
43,2024-02-25 15:18:37.457246,182.5,Deposit
44,2024-03-15 19:21:59.481057,82.76,Deposit
45,2024-03-10 03:32:17.684310,404.74,Transfer
46,2024-04-17 06:16:30.207026,968.71,Transfer
47,2024-02-04 13:55:05.018297,188.61,Transfer
48,2024-03-19 21:49:57.501173,677.23,Withdrawal
49,2024-04-14 22:14:27.746763,17.65,Transfer
50,2024-02-05 07:17:28.499890,833.71,Withdrawal
51,2024-01-12 21:56:58.728775,181.76,Deposit
52,2024-04-27 23:49:21.692239,83.45,Withdrawal
53,2024-01-02 15:21:25.491952,982.56,Deposit
54,2024-04-17 19:59:43.546719,188.46,Deposit
55,2024-03-03 12:57:09.054657,53.26,Withdrawal
56,2024-04-17 19:28:53.656388,381.16,Deposit
